Country,Correlation,Annual CO₂ emissions growth (%)_1951,Annual CO₂ emissions growth (%)_1952,Annual CO₂ emissions growth (%)_1953,Annual CO₂ emissions growth (%)_1954,Annual CO₂ emissions growth (%)_1955,Annual CO₂ emissions growth (%)_1956,Annual CO₂ emissions growth (%)_1957,Annual CO₂ emissions growth (%)_1958,Annual CO₂ emissions growth (%)_1959,Annual CO₂ emissions growth (%)_1960,Annual CO₂ emissions growth (%)_1961,Annual CO₂ emissions growth (%)_1962,Annual CO₂ emissions growth (%)_1963,Annual CO₂ emissions growth (%)_1964,Annual CO₂ emissions growth (%)_1965,Annual CO₂ emissions growth (%)_1966,Annual CO₂ emissions growth (%)_1967,Annual CO₂ emissions growth (%)_1968,Annual CO₂ emissions growth (%)_1969,Annual CO₂ emissions growth (%)_1970,Annual CO₂ emissions growth (%)_1971,Annual CO₂ emissions growth (%)_1972,Annual CO₂ emissions growth (%)_1973,Annual CO₂ emissions growth (%)_1974,Annual CO₂ emissions growth (%)_1975,Annual CO₂ emissions growth (%)_1976,Annual CO₂ emissions growth (%)_1977,Annual CO₂ emissions growth (%)_1978,Annual CO₂ emissions growth (%)_1979,Annual CO₂ emissions growth (%)_1980,Annual CO₂ emissions growth (%)_1981,Annual CO₂ emissions growth (%)_1982,Annual CO₂ emissions growth (%)_1983,Annual CO₂ emissions growth (%)_1984,Annual CO₂ emissions growth (%)_1985,Annual CO₂ emissions growth (%)_1986,Annual CO₂ emissions growth (%)_1987,Annual CO₂ emissions growth (%)_1988,Annual CO₂ emissions growth (%)_1989,Annual CO₂ emissions growth (%)_1990,Annual CO₂ emissions growth (%)_1991,Annual CO₂ emissions growth (%)_1992,Annual CO₂ emissions growth (%)_1993,Annual CO₂ emissions growth (%)_1994,Annual CO₂ emissions growth (%)_1995,Annual CO₂ emissions growth (%)_1996,Annual CO₂ emissions growth (%)_1997,Annual CO₂ emissions growth (%)_1998,Annual CO₂ emissions growth (%)_1999,Annual CO₂ emissions growth (%)_2000,Annual CO₂ emissions growth (%)_2001,Annual CO₂ emissions growth (%)_2002,Annual CO₂ emissions growth (%)_2003,Annual CO₂ emissions growth (%)_2004,Annual CO₂ emissions growth (%)_2005,Annual CO₂ emissions growth (%)_2006,Annual CO₂ emissions growth (%)_2007,Annual CO₂ emissions growth (%)_2008,Annual CO₂ emissions growth (%)_2009,Annual CO₂ emissions growth (%)_2010,Annual CO₂ emissions growth (%)_2011,Annual CO₂ emissions growth (%)_2012,Annual CO₂ emissions growth (%)_2013,Annual CO₂ emissions growth (%)_2014,Annual CO₂ emissions growth (%)_2015,Annual CO₂ emissions growth (%)_2016,Annual CO₂ emissions growth (%)_2017,Annual CO₂ emissions growth (%)_2018,Annual CO₂ emissions growth (%)_2019,Annual CO₂ emissions growth (%)_2020,Annual CO₂ emissions growth (%)_2021,Population Growth %_1951,Population Growth %_1952,Population Growth %_1953,Population Growth %_1954,Population Growth %_1955,Population Growth %_1956,Population Growth %_1957,Population Growth %_1958,Population Growth %_1959,Population Growth %_1960,Population Growth %_1961,Population Growth %_1962,Population Growth %_1963,Population Growth %_1964,Population Growth %_1965,Population Growth %_1966,Population Growth %_1967,Population Growth %_1968,Population Growth %_1969,Population Growth %_1970,Population Growth %_1971,Population Growth %_1972,Population Growth %_1973,Population Growth %_1974,Population Growth %_1975,Population Growth %_1976,Population Growth %_1977,Population Growth %_1978,Population Growth %_1979,Population Growth %_1980,Population Growth %_1981,Population Growth %_1982,Population Growth %_1983,Population Growth %_1984,Population Growth %_1985,Population Growth %_1986,Population Growth %_1987,Population Growth %_1988,Population Growth %_1989,Population Growth %_1990,Population Growth %_1991,Population Growth %_1992,Population Growth %_1993,Population Growth %_1994,Population Growth %_1995,Population Growth %_1996,Population Growth %_1997,Population Growth %_1998,Population Growth %_1999,Population Growth %_2000,Population Growth %_2001,Population Growth %_2002,Population Growth %_2003,Population Growth %_2004,Population Growth %_2005,Population Growth %_2006,Population Growth %_2007,Population Growth %_2008,Population Growth %_2009,Population Growth %_2010,Population Growth %_2011,Population Growth %_2012,Population Growth %_2013,Population Growth %_2014,Population Growth %_2015,Population Growth %_2016,Population Growth %_2017,Population Growth %_2018,Population Growth %_2019,Population Growth %_2020,Population Growth %_2021
China,0.238191807,29.529821,25.34796,4.5184255,20.25261,18.426477,13.280666,18.51554,105.10082,37.27186,10.921085,-28.564066,-19.4543,-0.61760545,0.8445263,8.607483,9.828949,-16.240215,7.665944,22.63881,32.956196,12.532557,6.5370917,4.093039,1.964438,15.087557,3.651595,9.328758,11.332285,2.2028327,-2.0427406,-1.2049615,8.811259,5.4545403,8.889723,8.307278,5.3116083,7.2960854,7.447946,1.5565753,0.8605242,4.8792124,4.784608,6.989312,6.232369,8.30928,4.378259,0.19311905,-4.295337,5.7269216,2.5841713,2.1734238,10.044992,17.988503,7.7715993,12.741947,10.407686,7.533312,7.416272,5.1935196,9.245086,10.576749,2.5905967,1.8101454,0.42483807,-1.3173997,-1.0329723,2.520454,3.4240127,3.5455942,1.7999172,3.8686156,1.889230991,2.124848569,2.234173765,2.143080921,2.157691475,2.036660333,2.022836434,1.974536949,1.065401466,-0.036345318,-0.106077183,1.249778724,2.982648137,3.357725458,2.968789889,2.830339677,2.578775092,2.52448906,2.724536344,2.739809782,2.581827449,2.375479929,2.167157783,1.865004364,1.534509666,1.289913756,1.187985277,1.228427291,1.33054053,1.525539046,1.785130532,1.918276508,1.867335391,1.792218301,1.860022763,2.010305601,2.032533154,1.853582009,1.700703397,1.678391889,1.401189944,0.955729722,0.754970535,0.692386736,0.623935404,0.605856584,0.653164149,0.644183745,0.63546618,0.720905194,0.774266299,0.769483089,0.778315839,0.798995555,0.82737623,0.787466538,0.732848023,0.751820891,0.736357092,0.655046958,0.574688881,0.553207889,0.534295859,0.466067294,0.380798451,0.364487822,0.395636,0.296398706,0.139000285,0.012646872,-0.113327453
Colombia,0.228040571,8.889425,5.741763,24.649775,-10.592228,24.140358,5.4850698,8.346057,2.3888469,15.09589,1.8878579,11.017466,6.7221403,9.337497,2.120161,5.422628,2.692461,5.1658273,7.6393843,5.4323435,1.2627482,6.737256,3.7771106,7.0185065,8.217692,-1.6084433,6.061852,3.320825,5.8440685,6.579256,-0.20929575,0.19487143,3.2059908,7.728541,-1.0325372,-1.2772679,1.4034867,2.8093934,3.777492,1.4906406,7.775569,-0.42824745,8.544135,2.9972076,5.841017,-11.361772,0.82787275,8.918869,0.8314848,-15.688742,2.0109057,0.45380592,-1.665771,2.64194,-4.7601995,10.09177,3.5616755,-2.909702,10.699844,8.208334,5.2523017,-0.05545616,5.2884817,9.780526,11.553848,-1.5362799,3.0085564,-7.434082,-5.5951953,8.478605,-5.0441384,6.7243814,2.686438304,2.716800871,2.748644276,2.785725818,2.834535526,2.876698501,2.932782924,2.940868238,2.988120353,3.081665553,3.108790589,3.104896692,3.073684728,3.040124382,2.999878735,2.905107486,2.81102788,2.72587904,2.614316483,2.524256179,2.414726564,2.341645853,2.339773164,2.320259997,2.302875193,2.28521792,2.346050995,2.426286915,2.440602985,2.468121538,2.448754989,2.410849644,2.403792311,2.356458059,2.243584039,2.158509989,2.119484158,2.095180057,2.082486279,2.072286552,2.0063622,1.954806584,1.953477873,1.942584947,1.898103835,1.835844576,1.804531596,1.760703793,1.703542075,1.653290945,1.61063569,1.570980373,1.516824809,1.462114027,1.397749218,1.330694424,1.27173331,1.199579544,1.165103153,1.160600712,1.124716124,1.065304938,1.009128557,0.956434633,0.94062735,1.066331298,1.532187911,1.932209761,1.848040679,1.457336859,1.108402229
Comoros,0.03208736,,,,,,,,,,0,0,0,0,0,33.333336,25,0,0,0,60.000004,0,0,0,0,12.5,22.222221,0,-27.272724,-25,116.66667,0,0,0,0,0,-7.6923075,8.333338,7.692313,0,28.571426,0,5.555558,5.2631617,0,4.999995,4.7619104,4.54545,8.69565,3.9999962,7.692313,3.5714269,0,27.58621,8.108103,-2.4999976,15.384615,-35.555553,3.4482718,23.333336,18.918919,-11.363638,7.692313,19.047619,-12,11.363638,20.408165,23.728811,9.589041,6.25,22.352945,8.941996,,,,,,,,,,1.816315249,1.834433518,1.839779165,1.831606969,1.823772159,1.874345831,1.916305964,2.114217007,2.413173025,2.563225603,2.663624325,2.775764851,2.895482745,3.004662059,3.09303363,3.108872406,3.156501232,3.245632568,3.271357218,3.284542048,3.182553509,2.914417946,2.645912449,2.574616549,2.628945941,2.691346379,2.737748912,2.779150376,2.803859104,2.824976413,2.754459976,2.584230807,2.404830744,2.252992737,2.165046212,2.151808184,2.1705624,2.190645303,2.198668909,2.042161398,1.935170074,2.009086697,2.00393775,1.970606658,1.968776517,2.034749407,2.089520973,2.100377074,2.135614305,2.179111722,2.21711407,2.250348217,2.264664291,2.256432246,2.248809743,2.239931395,2.234341686,2.082527928,1.90314874,1.851361249,1.879922605,1.876033777
Congo,0.022647931,33.332954,29.687775,-15.662729,5.7138443,-1.3512552,30.136978,7.3684454,14.705849,-13.675129,19.607841,19.67213,-10.958904,-1.5384614,14.0625,-8.219176,25.373137,4.7619104,39.772724,11.382114,13.868607,19.871796,-3.2085538,83.977905,33.033035,-32.279907,12.333334,-61.127598,-32.82443,7.95455,16.504538,16.076529,185.32686,-14.939297,-0.25804043,11.91045,-16.691261,24.258804,13.09371,0.17991066,-32.60973,7.430148,19.058716,-9.984774,191.60242,-4.7049522,25.20386,19.645287,-19.900375,1.1968374,9.415495,-2.4845243,-34.887295,19.771027,8.916092,22.64334,9.9662895,-11.002481,0.25715828,15.769255,11.252605,-8.245939,-0.5329311,17.387272,-7.173938,2.9935956,1.7032623,-1.3594925,15.81155,11.386454,1.3898611,-1.8348634,2.150039832,2.1953805,2.219536196,2.244437934,2.287325877,2.339677377,2.390494356,2.440846783,2.490879711,2.533032774,2.568624786,2.607062933,2.671557047,2.738014035,2.792347868,2.861863032,2.915312927,2.957446024,3.008575357,3.04535788,3.091131367,3.136593452,3.146692462,3.130777793,2.787155627,2.445512896,2.414185223,2.38472736,2.348728162,2.304141092,2.276500688,2.222227852,2.128317553,2.59145296,3.093083973,3.06609199,3.034782003,2.989743763,2.940604792,2.863762695,2.824898712,2.790525338,2.927062949,2.913057696,2.75247682,2.726794189,2.047120009,2.141252968,2.734084432,3.999361234,3.920610589,2.371293977,2.850688304,3.531211038,3.751118516,3.905928002,3.805927013,3.392727789,4.148748971,4.275071868,3.259712026,2.730495293,2.303740367,2.275510242,2.267147422,2.27890311,2.306531829,2.33441634,2.329856352,2.341565486,2.35358375
Cook Islands,0.051616153,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,33.333336,0,100,0,-12.5,14.285719,125,-22.222221,0,-57.142853,0,0,0,0,0,100,0,0,8.333338,0,0,7.692313,0,-7.1428595,7.692313,0,-7.1428595,-15.384615,18.181812,15.384615,13.333332,5.8823586,0,0,0,11.111116,10.000002,4.54545,0,-4.347825,0,-9.090906,10.000002,0,4.54545,-21.739132,4.347098,,,,,,,,,,,,,,,,,,,,1.928952622,1.733578466,-0.509738059,-2.887519991,-3.319000132,-3.494974135,-3.417807025,-1.731587081,-0.120534484,-0.172399922,-0.14391471,-0.246737075,-0.570979449,-0.93346043,-1.27785405,-1.341938858,-0.718046336,0.618879464,1.286828998,1.243093923,1.274874159,1.120633593,0.849822571,0.51242929,0.398790001,0.216657827,0.152008197,-1.358127403,-3.046570471,-3.499676718,-3.791053504,-3.840407212,-1.752630262,0.394038492,0.317731557,0.322048334,0.493460324,2.164787877,3.686141761,3.521451446,3.364348737,3.042901062,1.203593829,-0.492462312,-0.555499445,-0.69740673,-0.825037502,-0.855964249,-0.787073957,-0.821276298,-0.486275063,-0.155801848
Costa Rica,0.212329931,8.974361,24.705887,11.320758,-5.932206,-14.414412,38.94737,-4.545456,-3.174603,-13.934427,27.619053,0,11.9403,9.333336,12.175322,25.49517,17.325735,-11.810845,18.409252,10.594702,8.943022,22.291124,15.34276,16.016388,-6.818098,6.9196224,2.2598982,25.244987,11.682976,-4.500657,-11.956966,-8.668632,-7.404977,0.8785367,-5.163896,13.201046,14.942503,5.6770205,6.6839337,0.9436965,-0.6930649,12.869787,13.806748,3.9826155,33.64159,-7.674837,-2.382803,4.903686,6.466782,3.8911223,-0.80718994,5.05563,10.214877,5.3982973,3.9366722,-1.7287433,4.213953,13.615715,0.36685467,-3.031212,-3.292632,-2.426803,-0.69390535,5.116081,1.530385,-4.4175806,6.074965,2.203095,-0.20714998,-3.9188623,-12.148035,13.192093,3.252657904,3.330420127,3.407550482,3.464735632,3.519561946,3.554786644,3.590124749,3.631489997,3.654551916,3.663112992,3.649252214,3.5955938,3.518417307,3.428875795,3.316318863,3.195399819,3.078105481,2.92043663,2.802514532,2.757329518,2.715877577,2.681325264,2.677734087,2.703133575,2.744279057,2.801935896,2.853977276,2.896951633,2.922263902,2.914589668,2.889735492,2.871971139,2.843946722,2.798327247,2.748771262,2.680234177,2.587634124,2.499257085,2.444894599,2.436732539,2.445785288,2.447346083,2.441880492,2.423804636,2.38916565,2.348061386,2.314061807,2.252838359,2.163811297,2.072164805,1.94614173,1.790967576,1.670923779,1.598827426,1.544282428,1.497640085,1.463814619,1.440310147,1.39397656,1.30741102,1.234856762,1.18304442,1.117799059,1.047777808,1.000170015,0.964291726,0.915643598,0.866657493,0.791229103,0.665791586,0.5092512
Cote d'Ivoire,0.123674825,-16.38425,11.824333,-16.918396,17.818224,-0.30860305,15.789425,2.406454,-16.449142,9.558821,-15.436244,19.841267,5.960262,6.25,22.352945,53.846157,5.6249976,9.763312,17.520214,18.348621,18.604649,9.477127,10.447764,6.0810804,12.738848,22.937859,-0.64338446,2.3126721,18.806505,12.557077,2.7721405,-30.592108,43.69668,-18.66755,13.625299,36.04568,-20.146906,31.800259,19.790627,-6.117362,-42.15425,-9.885055,-10.799318,32.507145,-18.848927,50.625443,20.893192,-4.18244,-6.3200355,-9.822744,8.891499,15.317655,-2.6081622,-28.85359,39.349617,2.411151,-8.95142,-3.397125,0.8918166,-15.681869,9.9789505,4.7941566,30.918098,13.346124,2.308476,-3.5188556,25.411474,0.1598835,-13.743412,1.7642856,4.589677,6.450796,2.889086609,2.876660249,2.91845653,2.970172094,3.017638358,3.085931021,3.164642666,3.249647435,3.371148512,3.556795394,3.748012006,3.871842334,3.91103877,3.913820398,3.910936565,3.896290558,3.894198222,3.912585705,3.998029121,4.175055387,4.383588692,4.552598913,4.639768759,4.663788881,4.658813473,4.322922025,4.031822323,4.003337906,3.916838852,3.848680551,3.762967313,3.648847976,3.540599357,3.430124588,3.311234479,3.206605569,3.254383386,3.641899849,3.965982772,3.986691952,3.953255394,3.919393372,3.84844626,3.751852228,3.704420044,3.674624756,3.6278421,3.467651046,3.071149518,2.72324236,2.557654492,2.440454315,2.365885191,2.296776079,2.230985522,2.193657404,2.174747578,2.158862296,2.156625532,2.170282226,2.09930577,2.046626835,2.055935392,2.331828993,2.626564341,2.639251943,2.6604681,2.654907776,2.62053445,2.595527673,2.543889535
Croatia,0.334763943,-5.339402,0.2466917,-0.5423248,19.343685,14.501249,14.451051,8.477985,-1.4321089,14.665031,9.274292,4.8660636,2.6095629,11.254764,13.373017,2.9768705,-0.88164806,1.0976076,6.9684744,3.7038684,30.794643,7.713616,-6.406742,19.614649,0.38843155,4.2929173,3.1840801,-2.8031945,11.795306,8.796811,-1.7072141,8.676184,-8.156359,7.6895475,5.471611,2.0195127,4.4668913,-2.390182,3.2221317,-0.31277537,6.019044,-26.06972,-3.6268234,2.6710987,-4.5021772,4.7720194,3.13977,6.9930434,2.450037,5.3189874,-1.8097878,5.70848,5.3170204,6.0575366,-1.41415,1.9889712,0.88573694,5.575955,-5.0898733,-7.582659,-3.609866,-1.7508268,-7.597649,-3.4015357,-4.072362,0.80952644,1.5950322,3.506446,-5.4409084,0.7520437,-5.52665,3.201437,1.005679698,0.93008666,0.934248253,0.913902983,0.869556479,0.808087263,0.723677167,0.647517436,0.611393534,0.611764324,0.629007384,0.641475237,0.643615485,0.650207599,0.685499943,0.71542328,0.686464588,0.621573125,0.548009382,0.47513238,0.429335348,0.417188818,0.407959329,0.388334247,0.371347081,0.362639902,0.363448458,0.388617963,0.431764343,0.477285336,0.537276334,0.567357836,0.521665617,0.502839149,0.498798502,0.441919537,0.35819525,0.251977429,0.105779455,-0.076017695,-0.692658088,-1.062191264,-0.171274111,0.580863661,-0.284929528,-1.051272733,-0.986371375,-1.095346624,-1.198227994,-1.275582995,-0.975598665,-0.597167603,-0.541433541,-0.456333236,-0.360571505,-0.309824469,-0.309800872,-0.304637785,-0.274812807,-0.304424824,-0.405613139,-0.517044615,-0.588399592,-0.656646191,-0.766193614,-0.818646566,-0.840183518,-0.871725975,-0.861076325,-0.919531414,-1.017036745
Cuba,0.214644201,15.423573,-2.890861,-1.4571786,-3.907323,13.919222,-13.797003,137.35709,29.779125,-12.947977,-12.624783,-11.096549,16.32309,-7.973629,9.619963,2.2069693,3.9416432,3.7410498,1.7960429,7.639277,8.181667,5.010009,6.068361,7.6909304,2.291441,18.137932,0.5827904,8.005035,4.3814063,3.337574,-0.9800434,4.3011904,5.51244,-10.735625,5.710709,-0.075644255,3.0430794,1.1521459,4.9602866,0.288105,-16.99552,-8.358687,-24.206947,-3.7408292,7.8674436,6.794429,2.1800876,6.3259006,-2.0758927,0.7127166,5.347538,-2.1710992,1.2205243,1.6419888,-2.7811706,3.9276004,2.3132443,-2.289337,7.266259,1.0247827,20.437504,-13.943738,1.3844967,-5.7430563,-1.8369794,6.7385077,-4.4016657,-11.444128,-7.272869,-2.2233486,-5.93186,-1.5823662,2.078580924,2.056040416,2.075212727,2.096131304,2.100900038,2.104144511,2.103595672,2.094504811,2.088894993,2.089512703,2.083920508,2.092340582,2.123128936,2.119005733,2.040565487,1.929309504,1.840659454,1.779993546,1.742884679,1.723804413,1.652224814,1.484460301,1.280537584,1.09917036,0.940793451,0.793567746,0.670577709,0.579191721,0.516850435,0.487054772,0.638867079,0.927661934,1.125930184,1.178486782,1.15289589,1.136961515,1.116018835,1.103306506,1.070921316,0.978138793,0.787942695,0.548671988,0.357454427,0.19843354,0.095667175,0.05823788,0.073570984,0.128569302,0.187453064,0.24011584,0.264165682,0.269276053,0.281826885,0.277556549,0.238711712,0.182732643,0.115365632,0.063931241,0.047749683,0.039468221,0.039960647,0.051198031,0.040782888,0.010119299,-0.01336919,-0.058984685,-0.119037906,-0.136811817,-0.158241775,-0.207653466,-0.447023097
Curacao,-0.187902965,57.713425,-42.260212,15.734661,102.273796,-17.283375,29.331827,-31.698769,-12.4038515,28.723026,-14.013642,4.363632,9.819448,-4.2111278,-2.770251,-10.281825,-6.4894676,23.181988,-7.012284,30.873346,11.844373,-12.9678545,-3.0356705,10.931385,-9.360302,-27.58174,113.615204,-47.769207,-14.836227,4.9019694,2.9115796,-4.75027,11.807847,-48.6061,149.71283,17.045748,-80.8297,-11.097681,-1.492554,90.3581,7.0911884,-20.202702,-17.612202,54.367935,-4.1278243,-1.0416627,-6.4561424,4.651165,-94.48029,649.35187,165.33797,1.8288732,-3.592056,0.066542625,4.9202085,-0.8872032,4.2199492,12.576675,-3.8147032,2.322936,-31.118494,27.572357,21.550095,-5.7109537,14.647711,7.816708,-15.499997,-19.822485,-13.13653,-48.0034,-19.444443,-3.6373854,3.360969375,2.459420547,2.485466795,2.522670413,2.577114665,2.647925559,2.726469196,2.82890079,2.911343616,2.052232535,1.287944731,1.416345497,1.439621109,1.411814995,1.397206448,1.392298185,1.341275215,1.288764797,1.213157684,1.132613459,1.051230122,0.894264173,0.671255805,0.522473873,0.47341549,0.455279855,0.447279118,0.427554755,0.399575704,0.356688761,0.261438248,0.118466845,0.016552801,-0.078095605,-0.129269015,-0.17582093,-0.218313689,-0.252481565,-0.32262776,-0.363444163,-0.441190374,-0.589409878,-0.809024779,-0.998730688,-1.129316844,-1.218873963,-1.310964265,-1.376316535,-1.441713911,-1.306774839,-0.535358657,0.608311286,1.318044966,1.472679978,1.597161864,1.679270867,1.63462715,1.55274168,1.46612996,1.401230573,1.366073174,1.424931512,1.396349771,1.17283115,0.916930064,0.650615159,0.393477173,8.168763166,4.760452787,-2.212897949,0.513818793
Cyprus,0.091243767,5.479455,11.688316,16.279066,21.000004,1.6528964,49.56044,21.182835,-6.2871814,8.615839,6.6069245,-2.4836123,4.663098,8.91068,1.4966011,15.013874,7.964456,9.708786,19.081163,2.9344082,1.9695163,10.621023,27.735329,4.056418,-22.958242,3.2176495,24.957382,8.509684,5.3954244,7.044661,7.0664287,-5.06013,1.9883037,-0.1855135,2.6404262,-2.7689397,14.660538,16.053152,0.3011942,5.5312157,4.8564076,10.513639,7.255721,4.425335,4.21257,-2.162397,5.9699535,1.390934,4.671061,4.0388107,3.5844922,-1.7748654,2.7359128,5.4428577,3.030324,2.1645665,2.8613567,3.8910866,2.4958491,-2.817148,-4.3572903,-3.8696706,-6.7397356,-9.365034,5.593395,0.29888153,5.7676315,1.7649531,-2.42666,0.28157234,-5.8758974,1.7139554,1.500671212,1.444949885,1.529416454,1.523628536,1.554043074,1.645924173,1.720800709,1.809432082,1.900340554,1.949348215,1.471251867,0.960443243,0.908595886,0.844547122,0.824181015,0.892803362,0.887655803,0.805678775,0.720936376,0.6426637,0.585217892,0.536585772,0.57005418,-0.209671991,-0.447836424,0.746853957,1.347576843,1.324481625,1.281806231,1.255190581,1.218861789,1.309032792,1.533906002,1.621195459,1.573801834,1.54265875,1.517847198,1.486104496,1.446056899,1.386525356,1.309659452,1.359568783,1.815622584,2.14650298,2.090047002,2.05628056,2.037848728,2.001790383,1.952061518,1.881536655,1.810605453,1.79542307,1.832353642,1.862207139,1.874585548,1.871238713,1.855509449,1.823169478,1.771113813,1.712734494,1.318411904,0.890018631,0.7574524,0.686625169,0.691218784,0.719337954,0.722713225,0.699501792,0.681318663,0.574006827,0.39983843
Czechia,0.40071164,6.564319,6.9215894,3.64635,6.797254,3.8106203,7.3066235,4.456973,9.266973,0.1082778,6.6544175,8.532977,6.5665007,5.174649,4.0745974,-2.553612,-0.5541861,-0.20070672,4.6186566,6.1582804,14.645171,4.8942924,0.9097576,0.402081,1.1524916,4.6197653,3.8823724,2.982986,0.899899,-2.61755,1.1612773,-1.0986328,-0.98682046,0.12725592,3.364253,-1.3721406,0.67967176,-1.1907637,-1.6468883,-4.587799,-4.6887994,-9.355945,-2.134204,-3.8308442,-5.321002,-0.7882893,2.580452,-3.019625,-4.0726542,-7.114887,9.054529,-0.07200241,-2.4966955,2.905333,0.5643368,-2.0273268,0.6877184,1.4436126,-4.2304096,-6.4676104,2.1667004,-1.947993,-3.3884346,-4.1022596,-2.3202837,0.73480606,1.5792847,1.0270834,-1.3158619,-5.0073147,-9.239901,5.417669,0.694100634,0.642777209,0.589452891,0.538241719,0.550902297,0.563620653,0.514002019,0.458233533,0.359774653,0.3111965,0.362634397,0.362390785,0.442106344,0.594442159,0.577843463,0.440822103,0.323185054,0.210479693,0.145409681,0.165495255,0.224675119,0.31906845,0.45085807,0.563316885,0.581011071,0.501140579,0.395200242,0.326113926,0.271373083,0.143844001,0.044231183,0.053805934,0.0460678,0.01862769,0.013284029,-0.0005718,0.006452918,0.053872875,0.070607235,0.07337861,0.16514498,0.244710317,0.24465924,0.169911662,-0.002692278,-0.121532404,-0.144462416,-0.163937754,-0.188180318,-0.18185771,-0.066317034,0.071390587,0.101089624,0.129403074,0.194336759,0.261770852,0.329798707,0.384205298,0.373777292,0.328830283,0.154221097,-0.080141088,-0.221528378,-0.221734574,-0.162968156,-0.170932744,-0.152212483,-0.133932311,-0.119299781,-0.174873182,-0.284510068
Democratic Republic of Congo,0.018456532,18.069971,19.28798,9.845007,23.033201,20.287727,-6.279433,4.8461556,-12.099033,-7.7578545,-14.096522,1.5905857,-7.7880144,5.5586934,-13.901144,25.05374,-2.6741862,-4.7326684,47.064434,8.378124,-25.72263,9.189474,1.9783854,5.699682,5.5034637,-3.9202452,5.323553,2.1171331,1.4093876,6.0729265,-6.8202615,7.7590346,-18.864954,31.212532,-1.6598284,-8.132278,-7.371312,14.054012,4.2488217,9.401727,-2.3673534,-22.795223,-11.390305,-8.408892,3.3298612,12.547922,12.158716,-11.035329,-11.528212,-19.530577,-22.492392,-3.3587098,5.269277,20.867168,-3.244704,12.829124,2.804935,11.549007,2.3747444,-8.917677,11.849606,11.155629,-8.005386,40.12177,29.207684,-35.33574,-21.887028,21.217691,8.787596,6.431699,3.272283,6.22586,2.035944699,2.10088792,2.110233658,2.143755187,2.211337385,2.251154887,2.29134467,2.254595911,2.332315973,2.552469999,2.650701285,2.685344154,2.725449242,2.734601912,2.796669559,2.886472548,2.93765786,2.948243679,2.900729687,2.848905419,2.717170128,2.632741337,2.663662583,2.663585587,2.641831102,2.564231057,2.496659242,3.130138529,3.584727111,3.132355186,2.815869304,2.783588773,2.799654693,3.044960753,3.108419648,3.025663604,3.137557239,3.190643293,3.194996795,3.337118969,3.342190596,3.017529166,3.223780121,4.946874019,4.299053285,1.811638344,1.458725522,2.298126625,2.846801066,2.894415649,3.035939719,3.100037883,2.999149646,3.047452084,3.187547947,3.262227078,3.293165394,3.267680962,3.25678832,3.324324019,3.436066908,3.425557265,3.481159948,3.516012793,3.442200131,3.513055266,3.477684728,3.294252064,3.199180296,3.237108775,3.240888205
Denmark,0.261703,-0.301975,4.458499,1.1032939,10.477614,5.815494,-2.5575817,-5.5847826,7.5945616,-2.8222382,14.2699,6.5626144,16.365028,10.241365,6.095755,2.6570559,13.060749,-2.1006763,8.661139,11.394048,4.5443416,-8.121693,4.517019,-0.64032674,-7.069105,1.2710571,7.805431,2.844715,-1.1933684,3.0797482,-4.1674137,-14.216078,3.6731124,-6.5602303,1.3624072,18.11682,-1.9651532,-0.9515703,-5.54291,-11.504066,9.842503,19.873297,-9.013486,3.852737,6.767881,-4.6694336,21.485031,-12.632674,-6.4175787,-4.2220173,-7.410097,2.9281378,-0.61249137,9.164106,-9.144032,-6.4702034,15.456152,-8.051878,-6.311578,-4.6919346,0.6924629,-10.068834,-9.891308,4.7709227,-10.036689,-6.549698,5.143714,-6.1000824,-0.16058087,-10.571462,-8.564085,4.624164,0.54368011,0.549571169,0.59809059,0.646434121,0.669072988,0.698601954,0.698266123,0.696219814,0.710835683,0.751308779,0.814326835,0.844205225,0.887744909,0.92675812,0.917545956,0.906113374,0.810304331,0.620054004,0.460158494,0.395733709,0.425808216,0.471361553,0.466104538,0.435105744,0.437916913,0.366658728,0.256332111,0.233122882,0.202370444,0.136335919,0.080266897,0.058373206,0.02218423,0.010675636,0.023869191,0.043826459,0.094693748,0.132115993,0.189449965,0.252254945,0.28364556,0.32853062,0.370709296,0.397360611,0.392110388,0.348054788,0.318746965,0.305843375,0.283273024,0.272919524,0.275830912,0.254874557,0.261959433,0.311168486,0.353085763,0.384287041,0.403347757,0.419680827,0.420295292,0.415620978,0.407011802,0.389770801,0.384481682,0.401860221,0.436807573,0.478834427,0.503323624,0.480753396,0.469002824,0.46474638,0.444437307
